Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI_14,BB_Middle,BB_Std,BB_Upper,BB_Lower
2018-05-01,24117.29,24117.29,23808.19,24099.05,24099.05,380070000.0,,24099.05,,,,,
2018-05-02,24097.63,24185.52,23886.3,23924.98,23924.98,385350000.0,,24082.471904761904,,,,,
2018-05-03,23836.23,23996.15,23531.31,23930.15,23930.15,389240000.0,,24067.96505668934,,,,,
2018-05-04,23865.22,24333.35,23778.87,24262.51,24262.51,329480000.0,,24086.49314652845,,,,,
2018-05-07,24317.66,24479.45,24263.42,24357.32,24357.32,307670000.0,,24112.28618019241,,,,,
2018-05-08,24341.35,24412.34,24198.34,24360.21,24360.21,344940000.0,,24135.897972555038,,,,,
2018-05-09,24399.18,24586.48,24323.87,24542.54,24542.54,361580000.0,,24174.625784692653,,,,,
2018-05-10,24591.66,24794.99,24575.91,24739.53,24739.53,304210000.0,,24228.426186150497,,,,,
2018-05-11,24758.64,24868.65,24717.5,24831.17,24831.17,274150000.0,,24285.830358898067,,,,,
2018-05-14,24879.37,24994.19,24862.52,24899.41,24899.41,282860000.0,,24344.26651519349,,,,,
2018-05-15,24809.55,24809.55,24629.39,24706.41,24706.41,301900000.0,,24378.756370889347,,,,,
2018-05-16,24722.32,24801.19,24672.79,24768.93,24768.93,280810000.0,,24415.91576413798,,,,,
2018-05-17,24752.4,24839.49,24639.4,24713.98,24713.98,314650000.0,,24444.302834220074,,,,,
2018-05-18,24707.72,24774.97,24664.87,24715.09,24715.09,269700000.0,,24470.092088103876,,,,,
2018-05-21,24883.06,25086.49,24883.06,25013.29,25013.29,308920000.0,,24521.825222570173,75.99813454057374,,,,
2018-05-22,25047.55,25064.99,24812.06,24834.41,24834.41,288200000.0,,24551.595201373013,75.79079910838354,,,,
2018-05-23,24757.71,24889.46,24667.12,24886.81,24886.81,399610000.0,,24583.520420289868,76.4224004595872,,,,
2018-05-24,24877.36,24877.36,24605.9,24811.76,24811.76,347050000.0,,24605.257523119406,67.68340190983949,,,,
2018-05-25,24781.29,24824.22,24687.81,24753.09,24753.09,257210000.0,,24619.336806631844,63.04561366498114,,,,
2018-05-29,24606.59,24635.18,24247.84,24361.45,24361.45,395810000.0,24575.604499999998,24594.776158381195,50.032535342828105,24575.604499999998,327.5785812591198,25230.761662518238,23920.447337481757
2018-05-30,24467.83,24714.48,24459.09,24667.78,24667.78,324870000.0,24604.041,24601.728905202035,53.085306609118895,24604.041,308.1409666968077,25220.322933393618,23987.759066606384
2018-05-31,24620.79,24620.79,24352.15,24415.84,24415.84,429740000.0,24628.584,24584.0251999447,42.2360486815027,24628.584,268.1628383415002,25164.909676683,24092.258323316997
2018-06-01,24542.09,24673.6,24542.09,24635.21,24635.21,315710000.0,24663.837,24588.89994280711,45.571125073453,24663.837,211.96986141530212,25087.776722830604,24239.897277169395
2018-06-04,24727.55,24859.37,24722.14,24813.69,24813.69,340400000.0,24691.396,24610.308519682625,48.15460659450427,24691.396,191.92868904334222,25075.253378086683,24307.538621913318
2018-06-05,24820.12,24838.78,24710.82,24799.98,24799.98,306340000.0,24713.529,24628.372470189042,52.182899801703016,24713.529,176.25969616927574,25066.04839233855,24361.009607661446
2018-06-06,24854.14,25146.46,24854.14,25146.39,25146.39,316090000.0,24752.838,24677.707473028182,57.775818452994045,24752.838,180.92052767066792,25114.679055341334,24390.996944658666
2018-06-07,25192.14,25326.09,25164.48,25241.41,25241.41,357680000.0,24787.7815,24731.393427977877,60.68879422505584,24787.7815,204.16310505586998,25196.10771011174,24379.45528988826
2018-06-08,25209.29,25325.63,25165.7,25316.53,25316.53,317510000.0,24816.6315,24787.120720551415,61.83368618222742,24816.6315,235.36860395815768,25287.368707916314,24345.894292083685
2018-06-11,25336.67,25402.83,25290.2,25322.31,25322.31,276740000.0,24841.188499999997,24838.091128117947,56.87077552472431,24841.188499999997,261.1722225956044,25363.532945191204,24318.84405480879
2018-06-12,25346.82,25364.37,25247.04,25320.73,25320.73,265750000.0,24862.2545,24884.056734963855,61.73835384986724,24862.2545,282.25617771385134,25426.7668554277,24297.742144572298
